id,grade,year_start,Measure,Score,Time
10810,8,2008,rc,3.9,1
10810,8,2008,lwid,8,1
10810,8,2008,wa,10.2,1
10810,8,2008,rf,4.4,1
10810,8,2008,cap,7.2,1
10810,8,2008,punc,6.3,1
10810,8,2008,ue,7.2,1
10810,8,2008,lang,6.9,1
10810,8,2008,wf,5.3,1
10810,8,2008,ws,3.5,1
10810,8,2008,ce,3.9,1
10810,8,2008,psdi,4.2,1
10810,8,2008,comp,3.6,1
10810,8,2008,maths,3.9,1
10810,8,2008,calc,4.1,1
10810,8,2008,mf,5,1
10810,8,2008,rc,5.3,2
10810,8,2008,lwid,7.2,2
10810,8,2008,wa,12.9,2
10810,8,2008,rf,6.1,2
10810,8,2008,cap,6.4,2
10810,8,2008,punc,2.4,2
10810,8,2008,ue,3.6,2
10810,8,2008,lang,4.1,2
10810,8,2008,wf,7.1,2
10810,8,2008,ws,9.7,2
10810,8,2008,ce,4.2,2
10810,8,2008,psdi,3.6,2
10810,8,2008,comp,7.5,2
10810,8,2008,maths,5,2
10810,8,2008,calc,4.1,2
10810,8,2008,mf,8.2,2
20810,4,2008,rc,2.9,1
20810,4,2008,lwid,4.8,1
20810,4,2008,wa,4.3,1
20810,4,2008,rf,4.7,1
20810,4,2008,cap,1.1,1
20810,4,2008,punc,3.1,1
20810,4,2008,ue,2,1
20810,4,2008,lang,2.1,1
20810,4,2008,wf,3.3,1
20810,4,2008,ws,2,1
20810,4,2008,ce,2.1,1
20810,4,2008,psdi,1.9,1
20810,4,2008,comp,2.9,1
20810,4,2008,maths,2.3,1
20810,4,2008,calc,3.2,1
20810,4,2008,mf,2.9,1
20810,4,2008,rc,3.8,2
20810,4,2008,lwid,5.2,2
20810,4,2008,wa,6.8,2
20810,4,2008,rf,8.7,2
20810,4,2008,cap,2.8,2
20810,4,2008,punc,2.2,2
20810,4,2008,ue,2.6,2
20810,4,2008,lang,2.4,2
20810,4,2008,wf,4.2,2
20810,4,2008,ws,5,2
20810,4,2008,ce,3.4,2
20810,4,2008,psdi,3,2
20810,4,2008,comp,4.2,2
20810,4,2008,maths,3.5,2
20810,4,2008,calc,3.8,2
20810,4,2008,mf,9.7,2
30810,7,2008,rc,6.7,1
30810,7,2008,lwid,8,1
30810,7,2008,wa,5.5,1
30810,7,2008,rf,9.7,1
30810,7,2008,cap,7.8,1
30810,7,2008,punc,12.9,1
30810,7,2008,ue,9.2,1
30810,7,2008,lang,10,1
30810,7,2008,wf,7.7,1
30810,7,2008,ws,7.6,1
30810,7,2008,ce,5.9,1
30810,7,2008,psdi,6.1,1
30810,7,2008,comp,3.4,1
30810,7,2008,maths,5,1
30810,7,2008,calc,6.2,1
30810,7,2008,mf,7.7,1
30810,7,2008,rc,8.3,2
30810,7,2008,lwid,8.5,2
30810,7,2008,wa,7.5,2
30810,7,2008,rf,10.7,2
30810,7,2008,cap,12.9,2
30810,7,2008,punc,12.9,2
30810,7,2008,ue,9.3,2
30810,7,2008,lang,11.8,2
30810,7,2008,wf,12.9,2
30810,7,2008,ws,9.7,2
30810,7,2008,ce,5.9,2
30810,7,2008,psdi,12.9,2
30810,7,2008,comp,5.6,2
30810,7,2008,maths,7.6,2
30810,7,2008,calc,6.2,2
30810,7,2008,mf,10.5,2
40810,8,2008,rc,5.6,1
40810,8,2008,lwid,9.1,1
40810,8,2008,wa,3.9,1
40810,8,2008,rf,4.8,1
40810,8,2008,cap,6,1
40810,8,2008,punc,4.9,1
40810,8,2008,ue,6.9,1
40810,8,2008,lang,5.9,1
40810,8,2008,wf,8.4,1
40810,8,2008,ws,3.5,1
40810,8,2008,ce,5.5,1
40810,8,2008,psdi,5,1
40810,8,2008,comp,4.6,1
40810,8,2008,maths,5,1
40810,8,2008,calc,5.7,1
40810,8,2008,mf,3.8,1
40810,8,2008,rc,5.5,2
40810,8,2008,lwid,9.1,2
40810,8,2008,wa,7.5,2
40810,8,2008,rf,11.2,2
40810,8,2008,cap,4,2
40810,8,2008,punc,8.2,2
40810,8,2008,ue,6.8,2
40810,8,2008,lang,6.3,2
40810,8,2008,wf,6.1,2
40810,8,2008,ws,9.7,2
40810,8,2008,ce,4.4,2
40810,8,2008,psdi,4.5,2
40810,8,2008,comp,7.5,2
40810,8,2008,maths,5.4,2
40810,8,2008,calc,6.7,2
40810,8,2008,mf,8,2
50810,5,2008,rc,5.2,1
50810,5,2008,lwid,8,1
50810,5,2008,wa,12.9,1
50810,5,2008,rf,5.2,1
50810,5,2008,cap,5.2,1
50810,5,2008,punc,2.9,1
50810,5,2008,ue,3.8,1
50810,5,2008,lang,4,1
50810,5,2008,wf,4.9,1
50810,5,2008,ws,5.9,1
50810,5,2008,ce,5.3,1
50810,5,2008,psdi,5.4,1
50810,5,2008,comp,2.9,1
50810,5,2008,maths,4.4,1
50810,5,2008,calc,2.8,1
50810,5,2008,mf,4.2,1
50810,5,2008,rc,3.7,2
50810,5,2008,lwid,7.6,2
50810,5,2008,wa,12.9,2
50810,5,2008,rf,7.3,2
50810,5,2008,cap,6.3,2
50810,5,2008,punc,3.8,2
50810,5,2008,ue,4.7,2
50810,5,2008,lang,4.9,2
50810,5,2008,wf,5.3,2
50810,5,2008,ws,3.7,2
50810,5,2008,ce,5.2,2
50810,5,2008,psdi,5.5,2
50810,5,2008,comp,5.7,2
50810,5,2008,maths,5.5,2
50810,5,2008,calc,7.3,2
50810,5,2008,mf,6.6,2
60810,6,2008,rc,7,1
60810,6,2008,lwid,7.1,1
60810,6,2008,wa,5.1,1
60810,6,2008,rf,7.4,1
60810,6,2008,cap,4.3,1
60810,6,2008,punc,4.6,1
60810,6,2008,ue,6.6,1
60810,6,2008,lang,5.2,1
60810,6,2008,wf,6.6,1
60810,6,2008,ws,8.9,1
60810,6,2008,ce,5.6,1
60810,6,2008,psdi,9.5,1
60810,6,2008,comp,4.2,1
60810,6,2008,maths,6.2,1
60810,6,2008,calc,5.7,1
60810,6,2008,mf,4.5,1
60810,6,2008,rc,12.9,2
60810,6,2008,lwid,8,2
60810,6,2008,wa,5.1,2
60810,6,2008,rf,9.3,2
60810,6,2008,cap,6.6,2
60810,6,2008,punc,5.3,2
60810,6,2008,ue,6.5,2
60810,6,2008,lang,6.1,2
60810,6,2008,wf,7.7,2
60810,6,2008,ws,9.7,2
60810,6,2008,ce,5.7,2
60810,6,2008,psdi,5.3,2
60810,6,2008,comp,4.9,2
60810,6,2008,maths,5.3,2
60810,6,2008,calc,6.2,2
60810,6,2008,mf,6.6,2
70810,4,2008,rc,3.7,1
70810,4,2008,lwid,5.1,1
70810,4,2008,wa,5.1,1
70810,4,2008,rf,5.4,1
70810,4,2008,cap,2.6,1
70810,4,2008,punc,4.6,1
70810,4,2008,ue,4.6,1
70810,4,2008,lang,3.9,1
70810,4,2008,wf,2.8,1
70810,4,2008,ws,4.3,1
70810,4,2008,ce,3.9,1
70810,4,2008,psdi,3.2,1
70810,4,2008,comp,2.9,1
70810,4,2008,maths,3.4,1
70810,4,2008,calc,3.2,1
70810,4,2008,mf,5.6,1
70810,4,2008,rc,4,2
70810,4,2008,lwid,4.9,2
70810,4,2008,wa,4.7,2
70810,4,2008,rf,8.9,2
70810,4,2008,cap,7,2
70810,4,2008,punc,4.5,2
70810,4,2008,ue,5.8,2
70810,4,2008,lang,5.8,2
70810,4,2008,wf,6.6,2
70810,4,2008,ws,6.8,2
70810,4,2008,ce,2.9,2
70810,4,2008,psdi,3,2
70810,4,2008,comp,4.5,2
70810,4,2008,maths,3.5,2
70810,4,2008,calc,5.2,2
70810,4,2008,mf,8.8,2
80810,8,2008,rc,10.9,1
80810,8,2008,lwid,12.9,1
80810,8,2008,wa,12.9,1
80810,8,2008,rf,7.1,1
80810,8,2008,cap,5.2,1
80810,8,2008,punc,7.1,1
80810,8,2008,ue,8.6,1
80810,8,2008,lang,7,1
80810,8,2008,wf,5.7,1
80810,8,2008,ws,12.9,1
80810,8,2008,ce,7.3,1
80810,8,2008,psdi,7.6,1
80810,8,2008,comp,2.7,1
80810,8,2008,maths,5.7,1
80810,8,2008,calc,9.7,1
80810,8,2008,mf,5.2,1
80810,8,2008,rc,6.5,2
80810,8,2008,lwid,12.9,2
80810,8,2008,wa,12.9,2
80810,8,2008,rf,5,2
80810,8,2008,cap,7,2
