id,grade,year_start,Measure,Score,Time
602325,8,2023,rc,6.3,1
602325,8,2023,lwid,12.1,1
602325,8,2023,wa,NA,1
602325,8,2023,rf,NA,1
602325,8,2023,cap,NA,1
602325,8,2023,punc,NA,1
602325,8,2023,ue,NA,1
602325,8,2023,lang,NA,1
602325,8,2023,wf,NA,1
602325,8,2023,ws,NA,1
602325,8,2023,ce,NA,1
602325,8,2023,psdi,NA,1
602325,8,2023,comp,6.4,1
602325,8,2023,maths,6,1
602325,8,2023,calc,5.7,1
602325,8,2023,mf,NA,1
602325,8,2023,rc,7.9,2
602325,8,2023,lwid,10.6,2
602325,8,2023,wa,NA,2
602325,8,2023,rf,NA,2
602325,8,2023,cap,NA,2
602325,8,2023,punc,NA,2
602325,8,2023,ue,NA,2
602325,8,2023,lang,NA,2
602325,8,2023,wf,NA,2
602325,8,2023,ws,NA,2
602325,8,2023,ce,NA,2
602325,8,2023,psdi,NA,2
602325,8,2023,comp,7.9,2
602325,8,2023,maths,7.3,2
602325,8,2023,calc,7.7,2
602325,8,2023,mf,NA,2
152325,5,2023,rc,NA,1
152325,5,2023,lwid,NA,1
152325,5,2023,wa,NA,1
152325,5,2023,rf,NA,1
152325,5,2023,cap,NA,1
152325,5,2023,punc,NA,1
152325,5,2023,ue,NA,1
152325,5,2023,lang,NA,1
152325,5,2023,wf,NA,1
152325,5,2023,ws,NA,1
152325,5,2023,ce,NA,1
152325,5,2023,psdi,NA,1
152325,5,2023,comp,NA,1
152325,5,2023,maths,NA,1
152325,5,2023,calc,NA,1
152325,5,2023,mf,NA,1
152325,5,2023,rc,11.1,2
152325,5,2023,lwid,8.3,2
152325,5,2023,wa,NA,2
152325,5,2023,rf,NA,2
152325,5,2023,cap,NA,2
152325,5,2023,punc,NA,2
152325,5,2023,ue,NA,2
152325,5,2023,lang,NA,2
152325,5,2023,wf,5.6,2
152325,5,2023,ws,NA,2
152325,5,2023,ce,NA,2
152325,5,2023,psdi,NA,2
152325,5,2023,comp,5.3,2
152325,5,2023,maths,6.7,2
152325,5,2023,calc,7.7,2
152325,5,2023,mf,NA,2
432325,9,2023,rc,4,1
432325,9,2023,lwid,4.5,1
432325,9,2023,wa,5.5,1
432325,9,2023,rf,4.6,1
432325,9,2023,cap,NA,1
432325,9,2023,punc,NA,1
432325,9,2023,ue,NA,1
432325,9,2023,lang,NA,1
432325,9,2023,wf,7,1
432325,9,2023,ws,NA,1
432325,9,2023,ce,NA,1
432325,9,2023,psdi,NA,1
432325,9,2023,comp,5,1
432325,9,2023,maths,4.5,1
432325,9,2023,calc,4.7,1
432325,9,2023,mf,5.7,1
432325,9,2023,rc,5.1,2
432325,9,2023,lwid,5.3,2
432325,9,2023,wa,5.7,2
432325,9,2023,rf,6.4,2
432325,9,2023,cap,NA,2
432325,9,2023,punc,NA,2
432325,9,2023,ue,NA,2
432325,9,2023,lang,NA,2
432325,9,2023,wf,7.8,2
432325,9,2023,ws,NA,2
432325,9,2023,ce,NA,2
432325,9,2023,psdi,NA,2
432325,9,2023,comp,5.8,2
432325,9,2023,maths,5,2
432325,9,2023,calc,6.2,2
432325,9,2023,mf,6.5,2
62325,3,2023,rc,3.2,1
62325,3,2023,lwid,4.8,1
62325,3,2023,wa,6.4,1
62325,3,2023,rf,3.8,1
62325,3,2023,cap,NA,1
62325,3,2023,punc,NA,1
62325,3,2023,ue,NA,1
62325,3,2023,lang,NA,1
62325,3,2023,wf,2.2,1
62325,3,2023,ws,NA,1
62325,3,2023,ce,NA,1
62325,3,2023,psdi,NA,1
62325,3,2023,comp,1.8,1
62325,3,2023,maths,2.8,1
62325,3,2023,calc,1.6,1
62325,3,2023,mf,4.1,1
62325,3,2023,rc,4.5,2
62325,3,2023,lwid,5.3,2
62325,3,2023,wa,8.1,2
62325,3,2023,rf,6,2
62325,3,2023,cap,NA,2
62325,3,2023,punc,NA,2
62325,3,2023,ue,NA,2
62325,3,2023,lang,NA,2
62325,3,2023,wf,5.6,2
62325,3,2023,ws,NA,2
62325,3,2023,ce,NA,2
62325,3,2023,psdi,NA,2
62325,3,2023,comp,4.5,2
62325,3,2023,maths,4,2
62325,3,2023,calc,5.7,2
62325,3,2023,mf,9,2
192325,8,2023,rc,7.3,1
192325,8,2023,lwid,10.6,1
192325,8,2023,wa,7.6,1
192325,8,2023,rf,4.5,1
192325,8,2023,cap,NA,1
192325,8,2023,punc,NA,1
192325,8,2023,ue,NA,1
192325,8,2023,lang,NA,1
